time,dt,student,test
4471.579684,0.703157,S1,Final
4472.267215,0.687531,S1,Final
4472.892244,0.625029,S1,Final
4473.517273,0.625029,S1,Final
4474.157927,0.640654,S1,Final
4474.76733,0.609403,S1,Final
4475.42361,0.65628,S1,Final
4476.017387,0.593777,S1,Final
4476.658041,0.640654,S1,Final
4477.267444,0.609403,S1,Final
4477.908099,0.640654,S1,Final
4478.470624,0.562526,S1,Final
4478.986273,0.515649,S1,Final
4479.548799,0.562526,S1,Final
4480.111325,0.562526,S1,Final
4480.642599,0.531274,S1,Final
4481.267627,0.625029,S1,Final
4481.76765,0.500023,S1,Final
4482.361428,0.593777,S1,Final
4483.064585,0.703157,S1,Final
4483.752116,0.687531,S1,Final
4484.408396,0.65628,S1,Final
4485.033425,0.625029,S1,Final
4485.814711,0.781286,S1,Final
4572.490553,0.734409,S1,Final
4583.287922,0.968794,S1,Final
4604.835784,0.625029,S1,Final
4605.367058,0.531274,S1,Final
4605.976461,0.609403,S1,Final
4606.60149,0.625029,S1,Final
4607.210892,0.609403,S1,Final
4607.789044,0.578151,S1,Final
4636.602863,0.500023,S1,Final
4637.181014,0.578151,S1,Final
4675.135877,0.531274,S1,Final
4675.620274,0.484397,S1,Final
4676.120297,0.500023,S1,Final
4676.682823,0.562526,S1,Final
4677.2766,0.593777,S1,Final
4677.854751,0.578151,S1,Final
4678.354774,0.500023,S1,Final
4678.886049,0.531274,S1,Final
4697.793164,0.5469,S1,Final
4701.715219,0.484397,S1,Final
4702.29337,0.578151,S1,Final
4702.809019,0.515649,S1,Final
4703.38717,0.578151,S1,Final
4703.93407,0.5469,S1,Final
4704.449719,0.515649,S1,Final
4800.094722,0.703157,S1,Final
4814.68914,0.515649,S1,Final
4825.627141,0.65628,S1,Final
4826.470929,0.843789,S1,Final
4844.331122,0.562526,S1,Final
4844.909273,0.578151,S1,Final
4857.409845,0.5469,S1,Final
4858.019248,0.609403,S1,Final
4858.566148,0.5469,S1,Final
4867.644689,0.671906,S1,Final
4868.175963,0.531274,S1,Final
4868.832243,0.65628,S1,Final
4875.504424,0.609403,S1,Final
4876.098201,0.593777,S1,Final
4876.676352,0.578151,S1,Final
4877.301381,0.625029,S1,Final
4877.832655,0.531274,S1,Final
4878.426432,0.593777,S1,Final
4879.067087,0.640654,S1,Final
4879.707741,0.640654,S1,Final
4880.239015,0.531274,S1,Final
4880.801541,0.562526,S1,Final
4881.348441,0.5469,S1,Final
4881.86409,0.515649,S1,Final
4882.504744,0.640654,S1,Final
4883.129773,0.625029,S1,Final
4883.676673,0.5469,S1,Final
